PortalID,GrantID,Status,LastUpdated,ChangeNotes,AgencyDept,Title,Type,LOI,Categories,CategorySuggestion,Purpose,Description,ApplicantType,ApplicantTypeNotes,Geography,FundingSource,FundingSourceNotes,MatchingFunds,MatchingFundsNotes,EstAvailFunds,EstAwards,EstAmounts,FundingMethod,FundingMethodNotes,OpenDate,ApplicationDeadline,AwardPeriod,ExpAwardDate,ElecSubmission,GrantURL,AgencyURL,AgencySubscribeURL,GrantEventsURL,ContactInfo,AwardStats
11270,,active,"2022-06-15 19:46:43",,"CA Department of Food and Agriculture","CDFA Beet Curly Top Virus Control Program Grants",Grant,No,"Agriculture; Science, Technology, and Research & Development",,"The Beet Curly Top Virus Control Program may consider funding projects, to develop new management methods for treating the beet leafhopper (BLH), the primary vector of beet curly top virus or to develop enhancements to other program areas, to mitigate the virus. Funding will be based on the researcher using no pesticide alternative or Dept. of Pesticide Regulation approved pesticides registered for use in CA on BLH and/or on rangeland/hillside.    ","The BCTV Program is soliciting proposals for research into alternatives to malathion. Projects that develop new management methods for treating the beet leafhopper. The funding will be based on the researcher using a no pesticide alternative or Department of Pesticide Regulation (DPR) approved pesticides registered for use in CA on BLH and/or on rangeland/hillside.    ","Business; Individual; Nonprofit; Public Agency; Tribal Government",,"Entire Region ( Example: Central Velley): Statewide ",State,,"Not Required",,"$20,000","Dependant on number of submissions received, application process, etc.","Dependant on number of submissions received, application process, etc.",Reimbursement(s),,"2022-06-15 07:00:00","2022-09-23 17:00:00","One Year",11/10/2022,"email: Canh.Nguyen@cdfa.ca.gov;",https://www.cdfa.ca.gov/plant/IPC/curlytopvirus/docs/bctvcp_2022_rfp_guidelines.pdf,https://www.cdfa.ca.gov/,,,"name: Canh Nguyen; email: Canh.Nguyen@cdfa.ca.gov; tel: 1-916-206-2529;",
11261,TDA19,active,"2022-06-14 20:17:26",,"Department of Resources Recycling and Recovery","Tire-Derived Aggregate (TDA) Grant Program",Grant,Yes,"Environment & Water; Science, Technology, and Research & Development; Transportation","Civil Engineering Projects","This competitive tire grant program provides opportunities to divert waste tires from landfills, prevent illegal tire dumping, and promote markets for recycled-content tire products. The Program provides assistance to civil engineers in solving a variety of engineering challenges using Tire-Derived Aggregate (TDA), which is produced from shredded tires, is lightweight, free-draining, and a less expensive alternative to conventional aggregates.","Eligible Projects:  Projects generally fall into one of five categories (see TDA Uses for more complete descriptions):  Category 1: Mechanically Stabilized TDA (retaining walls).  Category 2: Low Impact Development (storm water mitigation including storm water infiltration galleries).  Category 3: Lightweight fill (slope stabilization, embankment fill, landslide repair, and retaining walls).  Category 4: Vibration mitigation (under rail lines).  Category 5: Landfill application (aggregate replacement projects such as leachate and gas collection systems, drainage layers, leachate injection).  All projects are subject to the following requirements:  • Only California-generated waste tires, processed in California, must be used in the TDA portion of the project(s).  • The project(s) must be located in California.  • A combined minimum of 500 tons of TDA must be used in the project(s), except for Low Impact Development projects, which must use a minimum of 200 tons of TDA in the project(s).  • Plans and specifications must be reviewed by CalRecycle staff and/or its contractor(s) prior to commencement of work.  The project design plans must be uploaded in GMS at a minimum 50 percent complete during application submittal and 100 percent design prior to the start of the project.  The design plans must include: project costs (preliminary costs during application submittal), the project location (TDA placement), type and quantity of TDA (initial estimate during application submittal), and any analysis necessary to validate the design.  • Each project must incorporate technical assistance/training that will be provided by CalRecycle contractors and/or staff.  The following must receive CalRecycle sponsored technical training prior to implementation of the project, (1) Owner representative, (2) Construction Management engineer (Quality Assurance / Quality Control), and (3) Construction company project supervisor.  • The real property on which the project will be located must be owned by the applicant.  • If applicant’s ownership of the property on which the project(s) is located does not give it complete and clear access to the project site(s), then prior to incurring any grant-eligible costs, applicant must obtain any and all access rights (e.g., easements) to the project site(s) necessary to complete the project(s) within the grant term and shall ensure that such access extends to CalRecycle staff and/or its designated contractors for the purpose of observing the project, providing technical assistance and/or training during the grant term.  Such access must be in writing from the legal owner or his/her authorized agent.  • Reimbursement will not exceed the amount stated on the Grant Agreement Cover Sheet (CalRecycle 110).  • Construction of the TDA portion of any project must commence on or after the date indicated in CalRecycle’s written Notice to Proceed and be completed by April 1, 2025.  Additionally, landfill projects will not be reimbursed for use of more than 0.75 cubic yards (0.5 tons) of TDA per lineal foot of landfill gas collection or leachate injection line.     Please visit our grants website for eligible costs and additional grant specific information.","Business; Nonprofit; Public Agency; Tribal Government","Eligible applicants include:  • All California local government entities  • Special districts  • Joint Powers Authorities (JPA)  • Public school districts  • All California State agencies  • CA State University, University of CA, and CA Community Colleges  • Private, for-profit entities  • Non-profit organizations  • Qualifying Tribal Entities     Please visit our grants website for a complete description and additional grant specific information.",,State,"The Department of Resources Recycling and Recovery (CalRecycle) receives an annual appropriation from the California Tire Recycling Management Fund to administer the California Tire Recycling Act (Senate Bill 937, Vuich, Statutes of 1990, Chapter 35) (Public Resources Code [PRC] sections 42860 et seq.)  • $375,000 is the maximum available for individual grant awards.","Not Required",,"$750,000","Dependant on number of submissions received, application process, etc.","Dependant on number of submissions received, application process, etc.",Reimbursement(s),"Staff proposes to conduct the review of FY 2022–23 applications using the eligibility, criteria and evaluation process applied in the FY 2021–22 cycle. Staff will perform a review of all applications to determine completeness. Complete applications will be evaluated to confirm applicant and project eligibility and determine the recommended funding amount.","2022-06-14 07:00:00","2022-08-17 00:00:00","NTP to April 1, 2025","October 2022","url: https://secure.calrecycle.ca.gov/Grants;",https://calrecycle.ca.gov/tires/grants/tda/fy202223,https://www.calrecycle.ca.gov/Funding/,https://www2.calrecycle.ca.gov/Listservs/Subscribe/120,https://www2.calrecycle.ca.gov/PublicNotices/,"email: tiregrants@CalRecycle.ca.gov; tel: 1-916-341-6441;",
11252,SAO2021-22,active,"2022-06-14 20:00:17","Changed the contact and deadline time. Edit application date. ","Department of Social Services","Statewide Asylee Orientation",Grant,No,"Health & Human Services",,"​The virtual Statewide Asylee Orientation (SAO) would provide information for asylees through culturally and linguistically appropriate self-paced, evergreen, virtual online content. The learning modules would address four areas: eligibility for benefits (including cash, food, medical assistance, childcare, and housing and utilities); employment; social adjustment; and legal rights and responsibilities. ","The California Department of Social Services (CDSS) Office of Equity, Refugee Programs Bureau (RPB), announces the Request for Application (RFA) for the Statewide Asylee Orientation Program (SAO) to provide a statewide virtual asylee orientation for California residents who have been granted asylum status by the U.S. Secretary of Homeland Security or the U.S. Attorney General pursuant to U.S. Code Title 8, Section 1158. The virtual platform will be comprised of self-paced learning modules in appropriate languages and include information and instructions on how to navigate the county welfare system, and if feasible, referrals to other services and benefits as appropriate. In coordination with local and statewide program partners, this orientation would provide content and outreach to recently granted asylees.  Specifically, CDSS is seeking qualified non-profit organizations to develop, produce, and effectively implement the virtual SAO to assist persons who are currently residing in California and are granted asylum by the United States (U.S.) Attorney General or the U.S. Secretary of Homeland Security.",Nonprofit,"​Tax-exempt status under section 501(c)(3) of the Internal Revenue Code. Must have experience delivering professional consultation and media services (e.g., audio and video products) either independently or with the use of a subcontractor. Samples of such production are encouraged. Must have at least three years of experience with providing case management services to the eligible population, etc. ",​California,State,,"Not Required",,"$300,000","Between 1 and 2","Between $0 and $300,000",Reimbursement(s),"Invoice for services rendered. For services satisfactorily rendered, and upon receipt and approval of the invoice(s), CDSS agrees to reimburse the Grantee for said services.","2022-06-14 07:00:00","2022-06-24 05:00:00",7/1/2022-6/30/2023,2022-07-08,"email: RPB@dss.ca.gov;",https://www.cdss.ca.gov/inforesources/cdss-programs/refugees/programs-and-info/sao,https://www.cdss.ca.gov/inforesources/cdss-programs/refugees/programs-and-info/sao,,,"name: Wisam Almsaid; email: SAO@dss.ca.gov; tel: 1-916-654-4356;",
11243,GFO-21-402,active,"2022-06-13 23:17:22",,"CA Energy Commission","GFO-21-402 – California Automated Permit Processing Program",Grant,No,Energy,,"The purpose of this solicitation is to provide funding for California cities, counties, or cities and counties, to establish online, automated solar permitting.","Funding through CalAPP is available to all incorporated cities, counties, or cities and counties to implement an online, automated permitting platform that verifies code compliance and issues permits in real time for a solar energy system.  To meet its clean energy goals, California needs new renewable and storage resources, including rooftop solar and storage projects. Per the 2021 Senate Bill 100 Joint Agency Report, achieving 100% clean electricity in California requires an acceleration of the development of rooftop solar projects. CalAPP funding is intended to encourage cities and counties to further enhance permitting processes and accelerate processing and turnaround time, particularly regarding plan review. Overall, funding is intended to promote the development of residential solar and solar-plus-storage systems, greatly decreasing approval times, cutting permitting costs for local governments and homeowners, and helping California meet its greenhouse gas emission reduction goals through an easier installation process.","Public Agency","This solicitation is open to all California cities, counties, or cities and counties (including any incorporated towns and villages) that will have costs associated with establishing online solar permitting. Applications from any other entities will not be accepted. ","This solicitation is open to all California cities and counties. ",State,"Senate Bill 129 (Skinner, Budget Act of 2021)","Not Required",,"$19,000,000","Dependant on number of submissions received, application process, etc.","Dependant on number of submissions received, application process, etc.",Reimbursement(s),"Funds are disbursed on a reimbursement basis (where the Recipient spends out-of-pocket and is reimbursed by the grantor). ","2022-06-13 07:00:00","2023-05-01 23:59:00","Until funds expire","On going","url: https://gss.energy.ca.gov/Login.aspx;",https://www.energy.ca.gov/solicitations/2022-06/gfo-21-402-california-automated-permit-processing-program,https://www.energy.ca.gov/solicitations/2022-06/gfo-21-402-california-automated-permit-processing-program,https://www.energy.ca.gov/solicitations/2022-06/gfo-21-402-california-automated-permit-processing-program,https://www.energy.ca.gov/solicitations/2022-06/gfo-21-402-california-automated-permit-processing-program,"name: Kevyn Piper; email: Kevyn.Piper@energy.ca.gov; tel: 1-916-827-9241;",
11240,GFO-21-403,active,"2022-06-13 23:07:07",,"CA Energy Commission","GFO-21-403 – California Electric Homes Program (CalEHP)",Grant,No,Energy,,"The California Electric Homes Program (CalEHP) is seeking a third-party administrator (Recipient) to design and implement an incentive program. The Recipient will also provide technical assistance to potential and current CalEHP applicants.","This is a competitive grant solicitation. In this solicitation, the California Electric Homes Program (CalEHP) is seeking a third-party administrator (Recipient) to design and implement an incentive program. The Recipient will also provide technical assistance to potential and current CalEHP applicants. The third-party administrator applicant to this solicitation (Applicant) selected to be the Recipient of the grant funds will initially distribute up to $58,125,000 in incentives for all-electric buildings and energy storage systems in new residential market-rate construction throughout California. These incentives will be paid to incentive program applicants.","Business; Individual; Nonprofit; Public Agency; Tribal Government","This solicitation is open to all public and private entities.",N/A,State,"Assembly Bill 137 (Ting, Chapter 77, Statutes of 2021) created CalEHP, which is known in statute as Building Initiative for Low-Emissions Development Program Phase 2. Under Assembly Bill 137, the CEC is authorized to implement and administer a new statewide program to incentivize the construction of new multifamily and single-family market-rate residential buildings as all-electric buildings or with energy storage systems.","Not Required",,"$7,500,000","Dependant on number of submissions received, application process, etc.","Dependant on number of submissions received, application process, etc.",Reimbursement(s),"Funds are disbursed on a reimbursement basis (where the Recipient spends out-of-pocket and is reimbursed by the grantor). ","2022-06-13 07:00:00","2022-08-01 23:59:00","Until funds expire","August 22, 2022","url: https://gss.energy.ca.gov/Login.aspx;",https://www.energy.ca.gov/solicitations/2022-06/gfo-21-403-california-electric-homes-program-calehp,https://www.energy.ca.gov/solicitations/2022-06/gfo-21-403-california-electric-homes-program-calehp,https://www.energy.ca.gov/solicitations/2022-06/gfo-21-403-california-electric-homes-program-calehp,https://www.energy.ca.gov/solicitations/2022-06/gfo-21-403-california-electric-homes-program-calehp,"name: Kevyn Piper; email: Kevyn.Piper@energy.ca.gov; tel: 1-916-827-9241;",
11168,,active,"2022-06-10 16:05:02",.,"Governor's Office of Emergency Services","2022-23 Domestic Violence Mobile Health Care Services (FO) Program RFP",Grant,Yes,"Disaster Prevention & Relief; Health & Human Services; Law, Justice, and Legal Services","Victim Services","The purpose of the Program is to provide domestic violence victims/survivors and their children access to COVID-19 testing, vaccines, and primary health care through weekly mobile health care visits. To ensure all areas of California are reached, Cal OES is utilizing a regional approach where one Subrecipient coordinates services for all domestic violence shelters and programs within the identified region.","The American Rescue Plan Act of 2021 (ARP) provides funding to the Secretary of Health and Human Services (HHS) to detect, diagnose, trace, monitor and mitigate SARS-CoV-2 and COVID-19 infections, and related strategies to mitigate the spread of COVID-19.  The implementation of this supplemental funding aligns with the FVPSA definition of supportive services (45 CFR § 1370.2) and also aligns with medical advocacy and other services identified in FVPSA at 42 U.S.C. 10408(b)(1)(A)-(H).  The purpose of the Program is to provide domestic violence victims/survivors and their children access to COVID-19 testing, vaccines, and primary health care through weekly mobile health care visits. To ensure all areas of California are reached, Cal OES is utilizing a regional approach where one Subrecipient coordinates services for all domestic violence shelters and programs within the identified region.","Business; Individual; Nonprofit; Public Agency; Tribal Government","Applicants must be an organization that focuses on providing services to domestic violence victims/survivors and their children in California. Applicants may be governmental or non-governmental as long as they meet the requirements outlined in Part I, Subpart D.","All California Counties",Federal,,"Not Required",,"$34,505,575","Dependant on number of submissions received, application process, etc.","Dependant on number of submissions received, application process, etc.",Reimbursement(s),"Applicants may apply for up to the amount listed in the Table below (page 3, RFP Document), for the 31-month Grant Subaward performance period.  Please see the chart for the breakdown of the fund source (by four-character code) and match.  Grant Subaward amounts are formula based utilizing a base of $1,250,000. The remaining funds are distributed based on number of service providers in the region and population.","2022-06-10 15:00:00","2022-09-13 23:59:00","01/01/23 - 07/31/25",01/01/2023,"email: John.Kim@caloes.ca.gov;",https://www.caloes.ca.gov/cal-oes-divisions/grants-management/search-for-grants?k=FO,https://www.caloes.ca.gov/cal-oes-divisions/grants-management,https://www.caloes.ca.gov/cal-oes-divisions/grants-management/search-for-grants,,"name: John Kim; email: John.Kim@caloes.ca.gov; tel: 1-916-328-7652;",
11180,,active,"2022-06-10 21:21:55",,"Governor's Office of Emergency Services","2022-23 Domestic Violence Response Team (VA) Program RFP",Grant,No,"Consumer Protection; Health & Human Services; Law, Justice, and Legal Services","Victim Services","The purpose of this Program is to support communities in building and implementing protocols and practices for a collaborative and coordinated response to incidents of domestic violence.   ","The purpose of the Program is to support communities in building and implementing protocols and practices for a collaborative and coordinated response to incidents of domestic violence. The Program builds the capacity of communities that demonstrate a need for greater collaboration and coordination between domestic violence service providers and law enforcement.","Nonprofit; Public Agency","Applicants must be a governmental or a community-based non-profit organization that employs a Domestic Violence Counselor per Evidence Code § 1037.1(a) (1).","All California Counties",Federal,,25%,"The Program is supported through the Services*Training*Officers*Prosecutors (STOP) Violence Against Women Formula Grant Program.","$500,000","Dependant on number of submissions received, application process, etc.","Between $1 and $125,000",Reimbursement(s),"Applicants may apply for up to 125,000, for the 12-month Grant Subaward performance period.","2022-06-10 07:00:00","2022-08-15 23:59:00","01/01/23 - 12/31/23","TBD 10/22","email: VSapplications@caloes.ca.gov;",https://www.caloes.ca.gov/cal-oes-divisions/grants-management/search-for-grants?k=VA,https://www.caloes.ca.gov/cal-oes-divisions/grants-management,https://www.caloes.ca.gov/cal-oes-divisions/grants-management/search-for-grants,,"name: Terrance Buckley; email: Terrance.Buckley@caloes.ca.gov; tel: 1-916-328-7469;",
11123,,active,"2022-06-10 15:19:54",,"CA Natural Resources Agency","Youth Community Access Grant Program",Grant,No,"Disadvantaged Communities; Education; Parks & Recreation",,"Youth Community Access is a program supporting youth access to natural and cultural resources with a focus on low-income and disadvantaged communities including, but not limited to, community education and recreational amenities to support youth substance use prevention and early intervention.","California voters passed the Control, Regulate and Tax Adult Use of Marijuana Act (Proposition 64) on November 8, 2016, which legalized the recreational sale and use of cannabis to people over the age of 21 and levied new excise taxes on the cultivation and retail sale of all state-regulated cannabis. Proposition 64 created the Youth Education, Prevention, Early Intervention and Treatment Account (YEPEITA) into which the State Controller deposits 60 percent (60%) of the tax revenues from marijuana sales for youth programs designed to educate about and prevent substance use disorders and to prevent harm from substance use. Programs shall emphasize accurate education, effective prevention, early intervention, school retention, and timely treatment services for youth, their families, and caregivers.  Funds appropriated to the California Natural Resources Agency (the State) are for competitive grants to support youth access to natural or cultural resources with a focus on low-income and disadvantaged communities.  This includes, but is not limited to, community education and recreational amenities to support youth substance use prevention and early intervention.  The Youth Community Access Grant Program is a competitive program and will award to communities disproportionately affected by past federal and state drug policies, also known as the War on Drugs, as well as other underserved communities. The War on Drugs disproportionately impacted communities of color, particularly low-income communities. Harsh federal and state drug policies enacted during the War on Drugs led to mass incarceration of people of color, decreased access to social services, loss of educational attainment due to diminished federal financial aid eligibility, prohibitions on the use of public assistance, and the separation of families. The Youth Community Access Grant Program aims to be a resource to address and repair the multi-generational community impacts of the War on Drugs.","Nonprofit; Public Agency; Tribal Government","Eligible applicants include local, state, and federal agencies; nonprofit organizations; federally recognized Native American tribes; or non-federally recognized California Native American tribes listed on the California Tribal Consultation List maintained by the Native American Heritage Commission.",Statewide,State,"The Control, Regulate and Tax Adult Use of Marijuana Act (Proposition 64) created the Youth Education, Prevention, Early Intervention and Treatment Account (YEPEITA) into which the State Controller deposits 60 percent (60%) of the tax revenues from marijuana sales for youth programs designed to educate about and prevent substance use disorders and to prevent harm from substance use.","Not Required",,,"Dependant on number of submissions received, application process, etc.","Between $25,000 and $300,000",Reimbursement(s),"Payments will be made on a reimbursement basis: the Grantee pays for services, products, or supplies; submits invoices and proof of payment; and is then reimbursed by the State. 10% of the amount requested for reimbursement may be retained and issued as a final payment upon completion. For communities that meet disadvantaged and low-income requirements, advances up to 25% of the grant award at a time may be available.","2022-06-10 07:00:00","2022-07-29 17:00:00","March 1, 2026","August 2023","url: https://soar.resources.ca.gov/;",https://resources.ca.gov/grants/youth,http://resources.ca.gov/grants/,https://listservice.cnra.ca.gov/scripts/wa.exe?SUBED1=CNRA_BONDS_GRANTS&A=1,https://resources.ca.gov/grants/youth,"email: bondsandgrants@resources.ca.gov; tel: 1-916-653-2812;",
11144,,forecasted,"2022-06-08 23:59:54","Updated point of contact number","Victim Compensation Board","Trauma Recovery Center Grant",Grant,No,"Disadvantaged Communities; Health & Human Services","Victim/Survivor Assistance","The Trauma Recovery Center Grant funds centers throughout California that assist victims of violent crime. These centers provide wrap-around services and assist victims who are typically unserved and underserved communities. ","The Trauma Recovery Center (TRC) Grant funds organizations that operate throughout California to provide survivors of violent crime access to mental health or social services that may not be accessible for them through existing avenues. The TRC model offers wrap-around clinical services and cost-effective solutions for under- or unserved survivors and includes assertive outreach, clinical case management, assistance with law enforcement, referral to community resources and trauma-informed treatment. TRCs are meant to meet the victim where they are and serve each victim specific to his/her/their needs. Grant planning is not an eligible activity.Funding for TRCs varies each year with $2,000,000 from the Restitution Fund and a percentage of savings from the Safe Neighborhoods and Schools Fund (SNSF) that varies annually. SNSF totals have increased from $3.9 million in 2016 to $13.9 million in 2022. CalVCB typically receives 10-20 applications and awards 6-8 TRC grants. Individual awards vary by number of passing applications, funds available, and the amount requested to fund the TRC. Grants are for two fiscal years at a time, and TRCs may re-apply at the end of their awarded grant period to avoid a lapse in funding.Each year, CalVCB posts a Notice of Funds Available (NOFA) that instructs how interested applicants may apply and what each application should include. Questions about the NOFA may be submitted and will receive a timely response within the application deadline. Due dates for the application will be included in the NOFA posting. TRCs must follow the May 2017 edition of the evidence-informed model of care developed by the State Pilot TRC, including a multidisciplinary staff that includes a Program Director, Psychologist, Psychiatrist and a Licensed Clinical Social Worker (LCSW) or Licensed Marriage and Family Therapist (LMFT). Each TRC is expected to invoice monthly, submit data reports monthly and maintain records to fulfill site visit and/or audit requirements.  Typical expenses for TRCs include: • Salary and benefits for personnel  •Contracted personnel• Operating expenses related to direct services such as rent, insurance, utilities, postage, telephone service, internet costs, printed outreach materials, and other costs approved by the board• Emergency funds to help clients with nominal crime-related costs to meet the immediate needs of TRC clients such as transportation, childcare, food, emergency shelter, or clothing • Costs associated with community outreach events and activities • In-state training for the provision of trauma-informed evidence-based and evidence-informed practices as outlined in the grant application and approved in advance • Indirect costs (your organization must have a pre-existing cost rate agreement)The CalVCB Board reviews recommendations made and approves or denies the funding recommendation. Upon Board approval, grantees will be notified of their grant award, with all applicants receiving notification of results. ","Business; Individual; Nonprofit; Public Agency; Tribal Government",,Statewide,State,"Government Code sections 13963.1 and 13963.2","Not Required",,,"Dependant on number of submissions received, application process, etc.","Dependant on number of submissions received, application process, etc.",Reimbursement(s),,"Fall/ Winter 2022/23",,"7/1/2023 - 6/30/2025","March 2023","email: Grants@victims.ca.gov;",https://victims.ca.gov/board/grant-opportunities/,https://victims.ca.gov/,,,"email: Grants@victims.ca.gov; tel: 1-916-491-3740;",
10508,2022-RFP-83,active,"2022-06-08 23:13:07",,"Department of Community Services and Development","Low-Income Weatherization Program, Multi-Family Housing Administrator, Multi-Family Energy Efficiency and Renewables",Grant,No,"Disadvantaged Communities; Energy; Health & Human Services",,"This procurement seeks an Administrator for the Low-Income Weatherization Program’s (LIWP) Multi-Family Component, which focuses on energy efficiency and renewable energy upgrades for low-income multi-family affordable housing.","LIWP is an energy efficiency and renewable energy generation program administered by the Department of Community Services and Development (CSD). LIWP consists of several program components, including the Multi-Family Energy Efficiency and Renewables Component (Multi-Family Component), and is one of California’s Climate Investments funded by State Cap-and-Trade auction proceeds. The LIWP Multi-Family Program Administrator provides technical assistance, project monitoring, and inspection of energy efficiency measures and solar photovoltaics installed in multi-family dwellings and common areas at qualifying properties to reduce energy use and greenhouse gas emissions. The Administrator also disburses incentives to property owners upon satisfactory completion of scopes of work.     This program component has an initial allocation of approximately $14.25 million from CSD’s Fiscal Year (FY) 2021-22 LIWP appropriation.     Interested organizations will be able to access applicable procurement documents on CSD’s Contracting Opportunities webpage during the formal solicitation stage at  https://www.csd.ca.gov/Pages/contractopportunities.aspx.","Nonprofit; Public Agency; Tribal Government","Non-Profit, local government agency, or federally-recognized Indian Tribal Government",,State,"The Budget Act of 2021 (Senate Bill No. 170, Chapter 240, SEC. 110.)","Not Required",,"$14,250,000","Exactly 1","$14,250,000",Reimbursement(s),"The Multi-Family Program Administrators shall, at a minimum, submit a monthly expenditure report for the purposes of expense reimbursement for both Indirect and Direct Program expenditures.  Refer to RFP for full RFP reporting requirements.","2022-06-09 00:00:00","2022-07-13 17:00:00","9/1/2022 - 8/31/2025",8/17/2022,,https://csd.ca.gov/Pages/contractopportunities.aspx,https://csd.ca.gov/,https://csd.ca.gov/Pages/contractopportunities.aspx,https://csd.ca.gov/Pages/contractopportunities.aspx,"email: LIWP@csd.ca.gov; tel: 1-916-295-4815;",
